#blockname;itemname;amount;way(0-both,1-blocktoitem,2-itemtoblock)
Stone;Stone;1;0
PatternStone;PatternStone;1;0
PatternStoneHor;PatternStoneHor;1;0
PatternStoneVer;PatternStoneVer;1;0
Nitrate;Nitrate;1;1
Mushroom;Seed;1;1
Ice;Ice;1;1
Icicle;Ice;1;1
PlantHelperIdle;PlantHelper;1;0
PlantHelperGrow;PlantHelper;1;1
Chest;Chest;1;0
CampfireIdle;Campfire;1;0
CampfireBurn1;Campfire;1;0
CampfireBurn2;Campfire;1;0
CraftingTable;CraftingTable;1;0
TNT;TNT;1;0
TNTWhite;TNT;1;0
DoorClosed;Door;1;0
DoorOpen;Door;1;1
DoorLocked;Door;1;1
